medical_abstract,n_tokens,sera_truncado,triage_prediction,urgent_score,nonurgent_score,confidence
"Vascular complications after orthotopic liver transplantation. Over a 57-month period, we performed 430 orthotopic liver transplants in 372 patients. A total of 38 vascular complications were identified including hepatic artery thrombosis (n = 24), portal vein thrombosis (n = 6), combined hepatic artery thrombosis/portal vein thrombosis (n = 3), and hepatic artery rupture (n = 5). A number of potential risk factors for the development of vascular thrombosis were evaluated with only children, weight less than 10 kg, and cold ischemia time found to be significant. The clinical presentation included fulminant hepatic failure, allograft dysfunction, biliary sepsis, and screening ultrasound. Duplex ultrasonography was diagnostic in nearly all cases. Therapeutic modalities included revascularization, revascularization followed by retransplantation, retransplantation alone, and observation. Five cases of hepatic artery rupture occurred in four patients. Infectious arteritis was present in four patients. The 6-month actuarial survival in patients with vascular complications was 70%. Early diagnosis is critical for graft salvage, with surgical intervention the mainstay of therapy.",289,True,urgent,0.8362395167350769,0.1637604981660843,0.8362395167350769
"Simultaneous measurement of myocardial perfusion and ventricular function during exercise from a single injection of technetium-99m sestamibi in coronary artery disease. New radiopharmaceuticals permit simultaneous assessment of myocardial perfusion and left ventricular function using a single tracer injection. The purpose of this study was to quantitate the relation between myocardial perfusion and function at rest and during exercise in patients with documented coronary artery disease (CAD). A rest first-pass radionuclide angiocardiogram (RNA) was recorded in 51 patients with CAD during injection of 10 mCi of technetium-99m (Tc-99m) sestamibi, and tomographic perfusion images were obtained 60 minutes later. A treadmill test was then performed, and on attainment of an exercise end point a second first-pass RNA was recorded with 30 mCi of Tc-99m sestamibi. Tomographic images reflecting myocardial perfusion during exercise were obtained 1 hour later. Tomographic perfusion defect size, quantified using modifications of the Cedars-Sinai program, correlated directly with end-systolic volume and inversely with ejection fraction at rest and during exercise. However, perfusion defect size often varied widely in patients with similar left ventricular function. This independence between measurements of perfusion and function suggests that simultaneous assessment of the 2 physiologic variables could improve the diagnostic and prognostic information of radionuclide tests.",338,True,non-urgent,0.3138796389102936,0.686120331287384,0.686120331287384
"Anal submucosal injection: a new route for drug administration. VI. Chronic prostatitis: a new modality of treatment with report of eleven cases. The anal submucosal route was used for the treatment of chronic bacterial prostatitis in 11 patients. Prior to presentation, the patients had received different antimicrobial agents; the symptoms disappeared only to recur whenever the drug was discontinued. After repeated failure, the patients were treated with gentamicin to which the organisms were sensitive, via the anal submucosal route. A daily injection was given for ten days on an outpatient basis. The technique of injection is described. The patients were followed up clinically and by segmented cultures for three years. No anorectal complications were encountered as had been demonstrated experimentally. The symptoms of chronic prostatitis disappeared, and culture was negative by the end of treatment and for two to three years thereafter in all patients. It appears that the antimicrobial agent, via anal route, reaches the prostatic tissues at a higher concentration than that of the serum. The route adopted by the drug to reach the prostate from the anal submucosa is presented.",249,False,non-urgent,0.2540273070335388,0.7459726333618164,0.7459726333618164
"Vitamin E and cancer prevention. Some animal experiments and human studies suggest that vitamin E may protect against cancer. Serum alpha-tocopherol concentration was studied for its prediction of cancer in a cohort of 36,265 adults in Finland. During a mean follow-up of 8 y, cancer was diagnosed in 766 persons. The levels of serum alpha-tocopherol were determined from stored serum samples (at -20 degrees C) taken from these cancer patients and from 1419 matched control subjects. Individuals with a low level of alpha-tocopherol had about a 1.5-fold risk of cancer compared with those with a higher level. The strength of the association between serum alpha-tocopherol level and cancer risk varied for different cancer sites and was strongest for some gastrointestinal cancers and for the combined group of cancers unrelated to smoking. The association was strongest among nonsmoking men and among women with low levels of serum selenium. The findings agree with the hypothesis that dietary vitamin E in some circumstances protects against cancer.",223,False,non-urgent,0.05692162737250328,0.9430783987045288,0.9430783987045288
"Transesophageal echocardiography during percutaneous balloon mitral valvuloplasty. To ascertain the value of transesophageal echocardiography during percutaneous balloon mitral valvuloplasty, the present study was undertaken in 26 anesthesized patients (21 women and 5 men; mean age, 47 years) with symptomatic rheumatic mitral valve stenosis. In all but one patient the balloon dilation of the mitral valve was successful and Doppler-derived valve area increased (0.9 +/- 0.3 to 1.9 +/- 0.4 cm2). Transesophageal echocardiography provides continuous monitoring, as well as guidance of the procedure. Crossing the arterial septum, as well as delivery of the sheath through the mitral valve orifice and correct positioning of the balloon, was highly facilitated and reduced x-ray exposure time. The degree of mitral regurgitation and the presence of interatrial shunting at the end of the procedure could be readily assessed, making cineangiography not necessary. Complications of the procedure, such as pericardial effusion, could be detected before hemodynamic deterioration had occurred (one patient). The advantages of transesophageal echocardiography for routine monitoring of percutaneous mitral valvuloplasty, however, should be weighted against the added risk and expense of this support.",325,True,urgent,0.6019884347915649,0.39801156520843506,0.6019884347915649
"Rapid inactivation and phosphorylation of pyroglutamyl peptidase II in Y-79 human retinoblastoma cells after exposure to phorbol ester. Pyroglutamyl peptidase II (EC 3.4.19.-), a membrane-bound metalloproteinase, is a highly specific TRH-degrading enzyme. Exposure of Y-79 human retinoblastoma cells to 12-0-tetradecanoyl phorbol 13-acetate (TPA) decreased the activity of this enzyme in a time- and concentration-dependent manner (IC50 5 x 10(-9) M). After 15 min of TPA treatment, only 10% of pyroglutamyl peptidase II activity remained. TPA treatment did not affect the activity of the cytosolic enzyme pyroglutamyl peptidase I (EC 3.4.19.3) or the membrane-bound enzyme dipeptidyl peptidase IV (EC 3.4.19.3). Pretreatment of the cells with the protein kinase C inhibitors H-7 or sphingosine prevented the inactivation of pyroglutamyl peptidase II by TPA. The time course of the TPA-mediated effect paralleled the time course of translocation and activation of protein kinase C in this cell line. Immunoblot analysis demonstrated that inactivation of pyroglutamyl peptidase II was not due to dissociation or internalization of this enzyme molecule. Incubation of TPA-activated Y-79 cell membranes with gamma-[32P]-ATP followed by immunoprecipitation revealed a time-dependent phosphorylation of a 48 kilodalton subunit of pyroglutamyl peptidase II. These studies indicate that the phorbol ester effect is mediated by protein kinase C, and reveal a mechanism of potentiation of the action of TRH at its target sites.",449,True,non-urgent,0.2669006288051605,0.7330993413925171,0.7330993413925171
"Three mixed venous saturation catheters in patients with circulatory shock and respiratory failure Thirty-one critically ill patients with acute respiratory failure and circulatory shock were divided into three groups. Group 1 included 11 patients with an inserted mixed venous saturation (SvO2) catheter using three-reference wavelengths and characterized by one transmitting and one detecting fiberoptic filament (Oximetrix opticath catheter); group 2 included eight patients with an inserted SvO2 catheter using two-reference wavelengths and characterized by one transmitting and one detecting fiberoptic filament; (Edwards sat-one catheter); group 3 included 12 patients with an inserted SvO2 catheter using two-reference wavelengths and characterized by one transmitting and two detecting fiberoptic filaments. Once calibration procedures were performed, SvO2 measured by the catheter and by an hemoximeter OSM 3 (reference value) were compared following each therapeutic intervention. Over a period of 1.5 to 6 hours during which the hematocrit value remained unchanged, 119 measurements were obtained in group 1, 91 in group 2 and 181 in group 3. The dispersion of SvO2 values was much more pronounced with the two-reference wavelength systems using either one or two detecting fiber optic filaments, and the correlation coefficient was significantly higher with the three-reference wavelength system (r = 0.970 for the Oximetrix catheter vs r = 0.855 for the Edwards catheter and r = 0.826 for the Spectramed catheter, p less than 0.001). After 24 hours, the spontaneous drifts in the two-reference wavelength systems, using either one or two detecting fiber optic filaments (expressed as the SvO2 value measured by the catheter minus the reference SvO2 value) were significantly higher than the spontaneous drift in the three-reference wavelength system (9.3 +/- 7 percent for the Edwards catheter and +/- 6 +/- 4.1 percent for the Spectramed catheter vs 3.3 +/- 3.1 percent for the Oximetrix catheter, p less than 0.05). This study shows that a three-wavelength system is more accurate than a two-wavelength system for measuring acute changes in SvO2. The addition of a second detecting fiber optic filament does not seem to improve the accuracy of the system when SvO2 changes occur in conditions of stable hematocrit.",565,True,urgent,0.7543800473213196,0.245619997382164,0.7543800473213196
"Imaging techniques in the diagnosis of carcinoma of the colon. The variability in the published results for colonoscopy and barium enema examinations is confusing. With both, optimum results are dependent on meticulous preparation, technical excellence, and operator proficiency. It is a mistake to place colonoscopy and the barium enema in competitive positions; the two methods ideally complement one another in the evaluation of high risk individuals, including those with positive Hemoccult tests. The exclusion of significant pathology by the double-contrast enema can be relied on and is less costly to the patient. Detection of abnormalities by a barium enema should, when necessary, be followed by colonoscopic verification and/or biopsy. When used in this sequence, the procedures provide a cost-effective approach to the early detection and control of cancer; it is estimated that observance of the ACS guidelines can reduce mortality rates by 30%.",208,False,non-urgent,0.31668105721473694,0.6833189725875854,0.6833189725875854
"Thromboembolism. A complication of weekly chemotherapy in the treatment of non-Hodgkin's lymphoma. In a retrospective survey of 85 patients who received chemotherapy as treatment for non-Hodgkin's lymphomas, the authors found that clinically apparent thromboembolic disorders occurred in four of 11 patients receiving weekly chemotherapy, and in none of 74 patients who were treated on less intensive schedules, suggesting that intensive weekly chemotherapy is thrombogenic. The possible mechanisms of this effect are discussed.",123,False,urgent,0.5498539209365845,0.45014604926109314,0.5498539209365845
"Mechanism of stroke in patients taking aspirin. During a 1-year period, we prospectively studied the mechanism and severity of stroke in 47 patients sustaining a cerebral infarction while taking aspirin. The mechanism of stroke was undetermined in 12 patients (26%). In the remaining 35 patients, we identified 39 potential mechanisms: large-artery atherosclerosis (19 patients, 40%), cardioembolism (15 patients, 32%), and small-vessel occlusive disease (5 patients, 11%). Of 11 patients with carotid atherosclerosis and stroke, 9 (82%) had greater than 90% carotid stenosis or occlusion; of 12 patients with stroke of undetermined mechanism, 10 (83%) had previous stroke, of which 8 were also of undetermined mechanisms. Disability after stroke was moderate or severe in 27 patients (57%). These data suggest that (1) stroke in patients taking aspirin has a variety of etiologies and frequently causes moderate or severe disability; (2) patients with carotid disease failing aspirin often have high-grade carotid stenosis or occlusion; (3) stroke of undetermined mechanism may recur more frequently than other stroke subtypes in patients taking aspirin.",290,True,urgent,0.6707252860069275,0.3292746841907501,0.6707252860069275
"Ultrastructural evidence of the effects of shear stress variation on intimal thickening in dogs with arterially transplanted autologous vein grafts. Based on our findings that changes in wall shear stress, not the rate of blood flow, were the main hemodynamic factor related to intimal hyperplasia of autologous vein grafts, we further investigated the effect of wall shear stress variation on sequential ultrastructural changes in the intimal hyperplasia of arterially transplanted autovein grafts, using canine models. As noted, wall shear stress variation (tau-variation) could be defined by the variation in wall shear stress within a cardiac cycle, using a desktop flow waveform analyzer. In Group I, which had a high flow rate of 78.4 +/- 4.6 ml/min and low tau-variation of 36.1 +/- 2.2 dynes/cm2, intimal hyperplasia was significant. Ultrastructurally, there was a marked transformation of intimal smooth muscle cells to secretory cells 2 to 4 weeks after implantation. The surface of the intima was lined with modified smooth muscle cells at 2 weeks after implantation. In Group II, which had a low flow rate of 5.6 +/- 2.2 ml/min and normal tau-variation value (174.6 +/- 13.0 dynes/cm2), intimal hyperplasia was minimal, and there were several layers of contractile type smooth muscle cells, with characteristic myofibrillae. The surface of the intima was lined with endothelial cells at 2 weeks after implantation. These findings suggest that, in regions of low wall shear stress variation, intimal smooth muscle cells of autovein grafts may well become secretory cells, and enhanced platelet adherence could occur during early intimal repair, causing intimal hyperplasia to develop.",432,True,non-urgent,0.25734639167785645,0.7426536083221436,0.7426536083221436
"Lack of transmission of the live attenuated varicella vaccine virus to immunocompromised children after immunization of their siblings. The safety of administering the live attenuated Oka/Merck varicella vaccine to the well siblings of children with malignancy was evaluated as a strategy for reducing the risk of household exposure to varicella among immunocompromised children. Susceptible well children were eligible for vaccination if the child with malignancy had leukemia, lymphoma, or solid tumor in remission for 3 months or longer. No evidence of vaccine virus transmission was found among 30 children with malignancy whose 37 healthy susceptible siblings were immunized with varicella vaccine. Varicella-zoster virus was not isolated from the oropharyngeal secretions taken from 17 vaccinees or their 14 immunocompromised siblings. None of the 30 immunocompromised children had vaccine-related rashes or showed immunologic evidence of subclinical varicella-zoster virus infection based on testing for varicella-zoster virus IgG antibodies and T-lymphocyte proliferation to varicella-zoster virus. Four healthy vaccinees eventually had mild breakthrough cases of varicella, with transmission to the high-risk sibling in 3 cases. However, even in these families, the immunocompromised children had been protected from household exposure varicella for at least 20 months early in the course of their immunosuppressive treatment.",350,True,urgent,0.6390874981880188,0.3609125018119812,0.6390874981880188
"Postpartum hemorrhage: placenta accreta, uterine inversion, and puerperal hematomas. Puerperal hematomas, although rare, can be potentially morbid or life-threatening events. Early surgical management, including clot evacuation, layered closure, drainage, antibiotics, and fluid replacement (including blood), usually result in satisfactory outcome. Prevention is clearly preferable and often achievable with careful initial repair of episiotomies and lacerations.",110,False,urgent,0.8339730501174927,0.16602694988250732,0.8339730501174927
"Giant cell tumor of bone. A clinicopathologic and DNA flow cytometric analysis. Flow cytometric DNA analysis was performed on 60 cases of giant cell tumor of bone and the results were correlated with the clinicopathologic features. Tumors studied were from 31 men and 29 women whose ages ranged from 18 to 62 years (median, 29 years). The most common sites were the distal end of the femur and proximal end of the tibia, accounting for 75% of the lesions. Treatment consisted of resection in 29 patients (48%), curettage with bone chip packing in 15 patients (25%), or curettage with cement packing in 16 patients (27%). Ten patients (17%) had local relapse within 1 to 3 years, and two had lung metastases. Forty-two patients (70%) exhibited tumors with a diploid DNA content, 16 aneuploid (27%), and two tetraploid (3%). Six (37.5%) of the aneuploid patients had relapses: one of those had been treated by resection of the tumor and five by curettage. Of the remaining ten (62.5%) unrelapsed aneuploid patients, nine had been treated by resection of the tumor and one by curettage. Four of the 42 diploid patients (9.5%) had relapses; all had been treated by curettage of the tumor. The two tetraploid tumors were treated by resection and none relapsed. Histologic parameters did not correlate with relapse rate or DNA pattern. Although relapse was more common among aneuploid tumors, our study shows that this appears to be influenced by the treatment modality rather than the ploidy status. Based on this study the DNA analysis of giant cell tumor of bone has a limited utility for predicting the tumor's biologic behavior.",433,True,non-urgent,0.45294761657714844,0.5470523834228516,0.5470523834228516
"Frequency and clinical implications of monoclonal antibody detection of tumor-associated antigens in serum of patients with lung cancer. We previously showed that a panel of monoclonal antibodies (MAb) (5E8, 5C7, and 1F10) that detect serum tumor-associated antigens (TAA) could distinguish patients with lung cancer from those without to a highly significant degree. However, among patients with lung cancer, the frequency and clinical importance of serum TAA expression were not established. Therefore, we analyzed the serum and initial clinical characteristics of 52 Philadelphia VA patients with newly diagnosed lung cancer seen over a 13-month period. A modified semiquantitative ELISA was employed to determine MAb reactivity. Our cohort was characterized by a mean age of 65 +/- 9 year (SD) and mean Karnovsky score of 74 +/- 10; marked weight loss was present in 28 subjects, and 39 presented with either Stage III or IV disease. The panel detected TAAs in 38 of 52 cases (sensitivity 73%; 95% Cl, 60-83%), including 13 of 22 squamous cell, 9 of 12 adenocarcinoma, 10 of 11 undifferentiated, and 6 of 7 small cell carcinomas. No significant differences were found between the reactive and nonreactive patients in terms of age, stage at presentation, histologic subtype, performance status, or weight loss. However, 1F10 and 5C7 were each associated with a greater risk of early death by Cox proportional hazard analysis (p = 0.017 and 0.006, respectively) even when other prognostic variables are accounted for. We conclude that specific serum TAA can be detected in the majority of lung cancer patients with all major histologic subtypes in a cohort with advanced tumors and poor prognostic indices.",404,True,non-urgent,0.3890252113342285,0.6109747886657715,0.6109747886657715
"A human CD5+ B cell clone that secretes an idiotype-specific high affinity IgM monoclonal antibody. We previously demonstrated the occurrence of a naturally arisen human anti-idiotypic B cell clone, that we transformed with EBV (EBV383). We show evidence that EBV383 not only expresses the CD5 surface Ag, but also contains the 2.7-kb mRNA transcript encoding this protein. In addition, we show the presence of the 3.6-kb mRNA precursor. Most Ig produced by CD5+ B cells are polyreactive natural IgM antibodies encoded by unmutated copies of germline VH genes. However, in this study we present data demonstrating the monoreactive high affinity character of the anti-idiotypic antibody (mAb383) produced by EBV383. These data are in agreement with our previous observations, showing that the VH chain of mAb383 is encoded by an extensive somatically mutated VHV gene in a way that is consistent with an Ag-driven immune response. A possible role for this remarkable anti-idiotypic antibody in the maintenance of B cell memory is discussed.",271,True,non-urgent,0.2116154134273529,0.7883845567703247,0.7883845567703247
"Use of quinapril in the elderly patient. Quinapril hydrochloride is a nonsulfhydryl angiotensin converting enzyme (ACE) inhibitor that has been extensively tested and found effective when administered once-a-day to hypertensive patients of both sexes and all degrees of hypertension and cardiac compromise, including those with left ventricular hypertrophy, with and without congestive heart failure. Observations with earlier ACE inhibitors led to reports that this class of drugs was relatively ineffective in older hypertensive patients. To ascertain the role of quinapril (greater than or equal to 10 mg/day) in older patients, its blood pressure-lowering effects in 1,175 hypertensive patients less than or equal to 65 years of age were compared with those in 304 patients greater than 65 years of age. An excellent response was observed in patients greater than 65 years of age with mild to moderate hypertension (diastolic BP, 95 to 105 mm Hg) and moderate to severe hypertension (diastolic BP, 106 to 115 mm Hg). The reductions in blood pressure achieved with quinapril were at least comparable to those obtained in the younger hypertensives, and were numerically (but not statistically) greater in the mild to moderate group (-14 mm Hg v-12 mm Hg). In addition, the percentage of patients who experienced adverse experiences was lower in the greater than 65 group than in the less than or equal to 65 group (15% v 19%). The main adverse experiences reported included dizziness, headache, cough, fatigue, and hypotension. These findings indicate that quinapril is at least as safe and effective in older hypertensives as in younger patients.",388,True,non-urgent,0.17995427548885345,0.8200456500053406,0.8200456500053406
